מילת_מפתח,ספירה,סוג,וариантים,וариантים_קשורים,קבוצת_מושג
באמצעות,8,מילה,באמצעות (8),,
בדיווח,8,מילה,בדיווחים (4); בדיווח (4),,
בולט,8,מילה,בולט (8),בולט במיוחד,
בולט במיוחד,8,ביטוי,בולט במיוחד (8),בולט,
בכיר,8,מילה,בכירים (5); בכיר (3),,
ברורה,8,מילה,ברורה (8),,
בתים,8,מילה,בתים (8),,
גוש,8,מילה,גוש (8),,
דיר יאסין,8,ביטוי,דיר יאסין (8),טבח דיר יאסין; כיבוש דיר יאסין; פרשת דיר יאסין; יאסין,
האינתיפאדה השנייה,8,ביטוי,האינתיפאדה השנייה (8),האינתיפאדה,
האצ״ל,8,ביטוי,האצ״ל (7); והאצ״ל (1),,
הבריטי,8,מילה,הבריטי (8),המנדט הבריטי,
ההיבט,8,מילה,ההיבט (8),,
ההתנתקות,8,מילה,ההתנתקות (8),התנתקות,
הודעות,8,מילה,הודעות (8),,
הזהות,8,מילה,הזהות (8),זהות,
הזיכרון,8,מילה,הזיכרון (8),זיכרון,
החטופים,8,מילה,החטופים (8),חטופים,
הליך,8,מילה,הליך (8),תהליך,
המוות,8,מילה,המוות (8),מוות,
המזוהים,8,מילה,המזוהים (8),,
העימות,8,מילה,העימות (8),קו העימות; עימות,
הפער,8,מילה,הפער (8),,
הציבור,8,מילה,הציבור (8),הפרעה לסדר הציבורי; ציבור,
השוואה,8,מילה,השוואות (5); השוואה (3),,
השחרור,8,מילה,השחרור (8),מלחמה השחרור; שחרור,
השלטון,8,מילה,השלטון (8),שלטון,
השפה,8,מילה,השפה (8),,
ומכוני,8,מילה,ומכוני (8),ומכוני מחקר,
זר,8,מילה,זר (8),,
חברה,8,מילה,חברה (8),בחברה; בחברה הערבית; החברה; חברה אזרחית,
חרדים,8,מילה,חרדים (8),,
לאומנית,8,מילה,לאומנית (8),פשיעה לאומנית,
מאז תחילת,8,ביטוי,מאז תחילת (8),תחילת,
מדיניים,8,מילה,מדיניים (8),דיני,
מהגרים,8,מונח_ידוע,מהגרים (7); ומהגרים (1),מהגרי,הגעה של תושבי חוץ להשתקעות בישראל
מידע,8,מילה,מידע (8),,
מכוונת,8,מילה,מכוונת (8),,
מלחמה ששת,8,ביטוי,במלחמת ששת (4); מלחמת ששת (4),מלחמה,
ממלכתי,8,מילה,ממלכתיים (4); ממלכתי (4),,
מסתננים,8,מונח_ידוע,מסתננים (7); המסתננים (1),,"אנשים שנכנסו לישראל ללא מעמד קבוע, בשל סכסוך, רדיפה או מצוקה"
מפונים,8,מונח_ידוע,מפונים (6); המפונים (2),,אנשים שנאלצו לעזוב את מקום מגוריהם בישראל בשל סכסוך או החלטת מדינה
סכסוך הישראלי-פלסטיני,8,ביטוי,הסכסוך הישראלי-פלסטיני (8),הישראלי-פלסטיני; ישראל; סכסוך,
עבודה,8,מילה,עבודה (8),,
פשע מלחמה,8,ביטוי,פשעי מלחמה (3); פשע מלחמה (3); לפשע מלחמה (2),מלחמה,
קבוצות,8,מילה,קבוצות (8),,
קטיף,8,מילה,קטיף (8),גוש קטיף,
רקע,8,מילה,רקע (8),,
ששת,8,מילה,ששת (8),,
אתני,7,מילה,אתני (7),טיהור אתני,
ב-1948,7,מילה,ב-1948 (7),,
בהקשרים,7,מילה,בהקשרים (7),,
בלבד,7,מילה,בלבד (7),,
בלפור,7,מילה,בלפור (7),,
במרחב,7,מילה,במרחב (7),,
גוש קטיף,7,ביטוי,גוש קטיף (7),קטיף,
גנאי,7,מילה,גנאי (7),,
הגדר,7,מילה,הגדר (7),ההגדרה,
ההפרדה,7,מילה,ההפרדה (7),גדר ההפרדה; חומת ההפרדה,
הוצאה להורג,7,מונח_ידוע,הוצאה להורג (7),,הרג יזום של יעד ביטחוני בידי מדינת ישראל
החברתיות,7,מילה,החברתיות (7),ברשתות החברתיות,
החינוך,7,מילה,החינוך (7),מערכת החינוך; חינוך,
הכניסה,7,מילה,הכניסה (7),,
הכפייה,7,מילה,הכפייה (7),,
המבקרים,7,מילה,המבקרים (7),,
המדברים,7,מילה,המדברים (7),,
הנוכחות,7,מילה,הנוכחות (7),נוכחות; נוכח,
הסדר,7,מילה,הסדר (4); הסדרים (3),,
העברת,7,מילה,העברת (7),,
הצורך,7,מילה,הצורך (7),,
הרג אזרחים,7,מונח_ידוע,הרג אזרחים (7),אזרח,פגיעה באזרחים במהלך תקיפות צבאיות
הריסת,7,מילה,הריסת (7),,
השואה,7,מילה,השואה (7),,
התבסס מאז,7,ביטוי,התבסס מאז (7),התבסס,
התנתקות,7,מונח_ידוע,התנתקות (5); וההתנתקות (1); בהתנתקות (1),ההתנתקות,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
ומכוני מחקר,7,ביטוי,ומכוני מחקר (7),ומכוני; מחקר,
ועדת,7,מילה,ועדת (7),,
ופרשנים ועיתונאים,7,ביטוי,ופרשנים ועיתונאים (7),פרשנים ועיתונאים; ועיתונאים; ופרשנים; פרשנים,
ושיח אקדמי,7,ביטוי,ושיח אקדמי (7),אקדמי,
חופש,7,מילה,חופש (7),,
חזרה,7,מילה,חזרה (7),,
חירום,7,מילה,חירום (7),,
חריפה,7,מילה,חריפה (7),,
יצירת,7,מילה,יצירת (7),יצירת תנאי,
ישיר,7,מילה,ישיר (7),ישירה,
למעמד,7,מילה,למעמד (7),מעמד,
לשליטה,7,מילה,לשליטה (7),שליטה,
מאז האינתיפאדה,7,ביטוי,מאז האינתיפאדה (7),האינתיפאדה,
מחאת,7,מילה,מחאת (7),מחאת קפלן,
מעבר,7,מונח_ידוע,מעבר (6); במעבר (1),,נקודת בקרה שמסדירה ומגבילה תנועה בין אזורים בשליטה שונה
מעמדם,7,מילה,מעמדם (7),מעמד,
מערכת ביטחון,7,ביטוי,מערכת הביטחון (7),הצבא ומערכת ביטחון; ודוברי הצבא ומערכת ביטחון; ומערכת ביטחון; ביטחון,
מצייר,7,מילה,מצייר (7),,
מצמצם,7,מילה,מצמצם (7),,
מתקפת,7,מילה,מתקפת (7),מתקפת ה-7 באוקטובר,
נהרג,7,מונח_ידוע,נהרג (7),נהרגו,מוות של בני אדם בסכסוך/אלימות/אסון
נוספים,7,מילה,נוספים (7),,
נותר,7,מילה,נותר (7),,
נזק,7,מילה,נזק (7),,
נפוץ,7,מילה,נפוץ (7),,
נקודת המבט,7,ביטוי,נקודת המבט (7),נקודת; המבט,
סוף,7,מילה,סוף (7),,
סכנה,7,מילה,סכנה (7),,
עזה לבנון,7,ביטוי,בעזה ובלבנון (5); לעזה וללבנון (2),לבנון,
עיר דוד,7,מונח_ידוע,עיר דוד (7),,המרחב הארכאולוגי־עירוני מדרום לחומות העיר העתיקה בירושלים
פוגרומים,7,מילה,פוגרומים (7),,
פעולת,7,מילה,פעולת (7),פעולת התנגדות; פעולת טרור,
פשיעה,7,מילה,פשיעה (7),פשיעה לאומנית,
פתרון,7,מילה,פתרון (7),,
רשויות,7,מילה,רשויות (7),הרשויות,
שחרור,7,מילה,שחרור (7),השחרור; מלחמה השחרור,
תכנון,7,מילה,תכנון (7),,
תנאי,7,מילה,תנאי (7),יצירת תנאי; תנאי חיים,
תרפ״ט,7,מילה,תרפ״ט (7),מאורעות תרפ״ט; פרעות תרפ״ט,
אושוויץ,6,מילה,אושוויץ (6),גבול אושוויץ,
איומים,6,מילה,איומים (6),,
איסור,6,מילה,איסור (6),,
אישום,6,מילה,אישום (6),,
אלפי,6,מילה,אלפי (6),,
אסון,6,מילה,אסון (6),,
בזירה,6,מילה,בזירה (6),בזירה בינלאומית,
בזירה בינלאומית,6,ביטוי,בזירה הבינלאומית (6),בזירה,
בחברה הערבית,6,ביטוי,בחברה הערבית (6),בחברה; חברה,
בכפרים,6,מילה,בכפרים (6),,
בלחימה,6,מילה,בלחימה (6),לחימה,
בלט,6,מילה,בלט (6),,
בתקופת,6,מילה,בתקופת (6),,
דיוני,6,מילה,דיוני (6),,
דרום לבנון,6,ביטוי,בדרום לבנון (5); דרום לבנון (1),לבנון; דרום,
ההגדרה,6,מילה,ההגדרה (6),הגדר,
ההיסטורית,6,מילה,ההיסטורית (6),,
ההתנגדות,6,מילה,ההתנגדות (6),התנגדות,
ההתנחלויות,6,מילה,ההתנחלויות (6),התנחלויות,
החברה,6,מילה,החברה (6),חברה,
החוויה,6,מילה,החוויה (6),,
החלטת,6,מילה,החלטת (6),,
החרדי,6,מילה,החרדי (6),,
הכבושים,6,מילה,הכבושים (6),שטח הכבושים; כבוש,
הכפר,6,מילה,הכפר (6),,
המוחזקים,6,מילה,המוחזקים (6),,
המנדט הבריטי,6,ביטוי,המנדט הבריטי (6),הבריטי; המנדט,
המערכה,6,מילה,המערכה (6),,
המתקפה,6,מילה,המתקפה (6),,
העברה,6,מילה,העברה (6),,
הצדדים,6,מילה,הצדדים (6),,
הריבונות,6,מילה,הריבונות (6),ריבונות,
הרשויות,6,מילה,הרשויות (6),רשויות,
השמדה,6,מילה,השמדה (6),,
התיישבות,6,מילה,התיישבות (6),ההתיישבות,
התנחלויות,6,מונח_ידוע,התנחלויות (3); וההתנחלויות (1); והתנחלויות (1); בהתנחלויות (1),ההתנחלויות,היישובים היהודיים בגדה
התעצם,6,מילה,התעצם (6),,
ובלט,6,מילה,ובלט (6),,
והיסטוריונים,6,מילה,והיסטוריונים (6),,
והשב״כ,6,מילה,והשב״כ (6),,
וחוקרים,6,מילה,וחוקרים (6),,
ופוליטיקאים ישראלים,6,ביטוי,ופוליטיקאים ישראלים (6),פוליטיקאים ישראלים; ופוליטיקאים; פוליטיקאים; ישראל,
חוסל,6,מונח_ידוע,חוסל (6),,מוות של בני אדם בסכסוך/אלימות/אסון
חוקיים,6,מילה,חוקיים (6),בלתי חוקיים; קיים,
חינוך,6,מילה,חינוך (6),החינוך; מערכת החינוך,
חסרי,6,מילה,חסרי (6),,
יחסית,6,מילה,יחסית (6),,
ישראל וגופים,6,ביטוי,ישראל וגופים (6),ממשלות ישראל וגופים; ישראל,
כבוש,6,מילה,כבוש (6),הכבושים; שטח הכבושים; שטח כבוש,
כולם,6,מילה,כולם (6),,
כניסת,6,מילה,כניסת (6),,
כשהוא,6,מילה,כשהוא (6),,
לח״י,6,ביטוי,והלח״י (6),,
לימוד,6,מילה,לימוד (6),,
לכאורה,6,מילה,לכאורה (6),,
מ-2023 סביב,6,ביטוי,מ-2023 סביב (6),מ-2023,
מאמרים,6,מילה,מאמרים (6),,
מבצעי,6,מילה,מבצעי (6),מבצעית; פעולה מבצעית; מבצע,
מוגבל,6,מילה,מוגבלים (3); מוגבל (3),,
מוגדרת,6,מילה,מוגדרת (6),מוגדר,
מוסד מדינה,6,ביטוי,מוסדות המדינה (4); במוסדות המדינה (2),מדינה; מוסד,
מחבלים,6,מילה,מחבלים (6),,
מחבר,6,מילה,מחבר (6),,
מיעוט,6,מילה,מיעוטים (3); מיעוט (3),,
ממשל צבאי,6,מונח_ידוע,ממשל צבאי (6),,שלטון צבאי ישראלי על אוכלוסייה פלסטינית
מניעת,6,מילה,מניעת (6),,
מעצר מנהלי,6,מונח_ידוע,מעצר מנהלי (6),מעצר,שלילת חירות ללא כתב אישום והליך פלילי מלא
מרכז,6,מילה,מרכז (6),במרכז,
מרצון,6,מילה,מרצון (6),הגירה מרצון,
מתוכננת,6,מילה,מתוכננת (6),,
נוכחות,6,מילה,נוכחות (6),הנוכחות; נוכח,
ניהול,6,מילה,ניהול (6),,
ניסיון,6,מילה,ניסיון (6),,
נכבה,6,מילה,נכבה (6),הנכבה,
נכנס לשיח,6,ביטוי,נכנס לשיח (6),נכנס,
נרצחו,6,מילה,נרצחו (6),נרצח,
סיכול ממוקד,6,מונח_ידוע,סיכול ממוקד (6),,הרג יזום של יעד ביטחוני בידי מדינת ישראל
סיכולים,6,מילה,סיכולים (6),סיכולים ממוקדים,
סיכולים ממוקדים,6,ביטוי,סיכולים ממוקדים (6),סיכולים,
סילוואן,6,מונח_ידוע,סילוואן (5); בסילוואן (1),,המרחב הארכאולוגי־עירוני מדרום לחומות העיר העתיקה בירושלים
סיקור,6,מילה,סיקור (6),,
עליו,6,מילה,עליו (6),,
פגיעה אזרח,6,ביטוי,לפגיעה באזרחים (3); פגיעה באזרחים (3),פגיעה; אזרח,
צבא,6,מילה,צבא (6),,
קודם,6,מילה,קודם (6),,
קולקטיבית,6,מילה,קולקטיבית (6),,
ריבונות,6,מילה,ריבונות (6),הריבונות,
רצח עם,6,מונח_ידוע,רצח עם (4); ורצח עם (1); ברצח עם (1),,הרג המוני מכוון של אוכלוסייה
רצף,6,מילה,רצף (6),,
שהמדינה,6,מילה,שהמדינה (6),מדינה,
שוויון,6,מילה,שוויון (6),שוויון בנטל,
שירות,6,מילה,שירות (6),,
תחושת,6,מילה,תחושת (6),,
תיעוד,6,מילה,תיעוד (6),,
תעמולה,6,מונח_ידוע,תעמולה (6),,מאמץ מאורגן לעיצוב תודעה ודעת קהל ביחס למדיניות ופעולות ישראל
תעסוקה,6,מילה,תעסוקה (6),,
אובדן,5,מילה,אובדן (5),,
אופיו,5,מילה,אופיו (5),,
אישה,5,מילה,נשים (5),,
אלימות מתנחל,5,ביטוי,אלימות מתנחלים (5),מתנחל,
אף,5,מילה,אף (5),,
בבית,5,מילה,בבית (5),,
בהכרח,5,מילה,בהכרח (5),,
בהתאם,5,מילה,בהתאם (5),,
בלתי חוקיים,5,ביטוי,בלתי חוקיים (5),חוקיים; קיים,
במטרה,5,מילה,במטרה (5),מטרה,
במרכז,5,מילה,במרכז (5),מרכז,
בעומק,5,מילה,בעומק (5),,
בעוצמה,5,מילה,בעוצמה (5),,
ברשתות החברתיות,5,ביטוי,ברשתות החברתיות (5),החברתיות; ברשתות,
גבוהה,5,מילה,גבוהה (5),,
דה-פקטו,5,מילה,דה-פקטו (5),,
דיני,5,מילה,דיני (5),דיני כיבוש; ומסמכי מדיניות; מדיניות; מדיניים,
דיני כיבוש,5,ביטוי,דיני כיבוש (3); דיני הכיבוש (2),כיבוש; דיני,
דעה,5,מילה,דעה (5),,
האנושות,5,מילה,האנושות (5),,
הדגש,5,מילה,הדגש (5),הדגשת,
הדגשת,5,מילה,הדגשת (5),הדגש,
הדרג,5,מילה,הדרג (5),,
ההפיכה המשטרית,5,מונח_ידוע,ההפיכה המשטרית (5),ההפיכה; משטר,תוכנית לשינויים רחבים במערכת המשפט וביחסי הרשויות בישראל
ההשלכות,5,מילה,ההשלכות (5),,
היסטוריה,5,מילה,היסטוריה (5),,
הישראלי ופוליטיקאים,5,ביטוי,הישראלי ופוליטיקאים (5),ופוליטיקאים; פוליטיקאים; ישראל,
הכול,5,מילה,הכול (5),,
המוני,5,מילה,המוני (5),,
המורכבות,5,מילה,המורכבות (5),,
המידתיות,5,מילה,המידתיות (5),,
המנתחים,5,מילה,המנתחים (5),,
המצטטים,5,מילה,המצטטים (5),,
המציאות,5,מילה,המציאות (5),,
המרד הערבי הגדול,5,מונח_ידוע,המרד הערבי הגדול (5),,התקוממות הערבים בארץ ישראל נגד הבריטים והיישוב היהודי (1936–1939)
המשפט הומניטרי,5,ביטוי,המשפט ההומניטרי (5),משפט הומניטרי,
העלייה,5,מילה,העלייה (5),עלייה,
הערבים,5,מילה,הערבים (5),,
הפרת,5,מילה,הפרת (5),,
הצהרות,5,מילה,הצהרות (5),,
הקרב,5,מילה,הקרב (5),,
התוכנית,5,מילה,התוכנית (5),תוכנית,
ואתרי,5,מילה,ואתרי (5),,
וביתר שאת מ-2023,5,ביטוי,וביתר שאת מ-2023 (5),מ-2023; וביתר,
והוא,5,מילה,והוא (5),,
והפך,5,מילה,והפך (5),,
ומבקר,5,מילה,ומבקר (5),ומבקר מדינה,
ומבקר מדינה,5,ביטוי,ומבקר המדינה (5),ומבקר; מדינה,
ומסיח,5,מילה,ומסיח (5),ומסיח מן,
ומסיח מן,5,ביטוי,ומסיח מן (5),ומסיח,
ומסמכי מדיניות,5,ביטוי,ומסמכי מדיניות (5),מדיניות; דיני,
ומשרד,5,מילה,ומשרד (5),,
ועדות,5,מילה,ועדות (5),,
חברה אזרחית,5,ביטוי,חברה אזרחית (5),אזרח; חברה,
חדשים,5,מילה,חדשים (5),,
חוץ,5,מילה,חוץ (5),,
חילופי,5,מילה,חילופי (5),,
יזומה,5,מילה,יזומה (5),,
יישוב,5,מונח_ידוע,יישובים (4); היישובים (1),יישוב יהודי,היישובים היהודיים בגדה
יישוב יהודי,5,ביטוי,היישוב היהודי (3); ביישוב היהודי (2),יישוב,
יצירת תנאי,5,ביטוי,יצירת תנאי (5),יצירת; תנאי,
כפויה,5,מילה,כפויה (5),,
למחנה,5,מילה,למחנה (5),,
למרחב,5,מילה,למרחב (5),,
לרכך,5,מילה,לרכך (5),,
לשיא,5,מילה,לשיא (5),,
לשעבר,5,מילה,לשעבר (5),,
מאוקטובר,5,מילה,מאוקטובר (5),מאוקטובר 2023,
מאוקטובר 2023,5,ביטוי,מאוקטובר 2023 (5),מאוקטובר,
מאז מלחמה,5,ביטוי,מאז מלחמת (3); מאז מלחמות (2),מלחמה,
מאז סוף,5,ביטוי,מאז סוף (5),,
מאפריקה,5,מילה,מאפריקה (5),,
מבחין,5,מילה,מבחין (5),,
מבצעית,5,מילה,מבצעית (5),פעולה מבצעית; מבצעי; מבצע,
מגוון,5,מילה,מגוון (5),,
מהגרי,5,מילה,מהגרי (5),מהגרים,
מזוין,5,מילה,מזוין (5),,
מזרח,5,מילה,מזרח (5),מזרח ירושלים,
מזרח ירושלים,5,ביטוי,מזרח ירושלים (5),ירושלים; מזרח,
מחאת קפלן,5,ביטוי,מחאת קפלן (5),מחאת; קפלן,
ממניע,5,מילה,ממניע (5),,
ממשלות ישראל וגופים,5,ביטוי,ממשלות ישראל וגופים (5),ישראל וגופים; ממשלות ישראל; ישראל; ממשלות ישראל ודוברי; ממשלות ישראל ודוברי הצבא,
מסגרת,5,מילה,מסגרת (5),,
מסמך רשמיים,5,ביטוי,מסמכים רשמיים (3); במסמכים רשמיים (2),מסמך,
מערכת החינוך,5,ביטוי,מערכת החינוך (5),החינוך; חינוך,
מעשי,5,מילה,מעשי (5),,
מצביע,5,מילה,מצביע (5),,
מרד,5,מילה,מרד (5),,
משמעות,5,מילה,משמעות (5),,
נהרגו,5,מילה,נהרגו (5),נהרג,
נוכח,5,מילה,נוכח (5),הנוכחות; נוכחות,
נוספות,5,מילה,נוספות (5),,
סבבי הלחימה,5,ביטוי,סבבי הלחימה (5),הלחימה; לחימה; סבבי,
סיום,5,מילה,סיום (5),,
סיוע הומניטרי,5,מונח_ידוע,סיוע הומניטרי (5),סיוע,העברת אספקה אזרחית לשטח בשליטת ארגון אויב
עיקרון,5,מילה,עיקרון (5),,
ערביי ישראל,5,מונח_ידוע,ערביי ישראל (5),ישראל,האוכלוסייה הערבית־פלסטינית אזרחית ישראל
פחד,5,מילה,פחד (5),,
פלישה,5,מונח_ידוע,פלישה (4); בפלישה (1),,הפעלת כוחות צבא יבשתיים בשטח שאינו בשליטת ישראל
ציוד,5,מילה,ציוד (5),,
קורבנות,5,מילה,קורבנות (5),,
קיים,5,מילה,קיים (5),בלתי חוקיים; חוקיים,
קמפיינים ציבוריים,5,ביטוי,קמפיינים ציבוריים (5),קמפיינים; ציבור,
שאלת,5,מילה,שאלת (5),,
שטח אויב,5,ביטוי,לשטח אויב (4); שטח אויב (1),אויב,
שטח הכבושים,5,מונח_ידוע,השטחים הכבושים (5),הכבושים; כבוש,המרחב שבין הקו הירוק לנהר הירדן
שיקום,5,מילה,שיקום (5),,
שלום,5,מילה,שלום (5),,
שפה,5,מילה,שפה (5),,
תהליך,5,מילה,תהליך (5),הליך,
תווית,5,מילה,תווית (5),,
תוכנית,5,מילה,תוכנית (5),התוכנית,
תוצאה,5,מילה,תוצאה (5),,
תושבים,5,מילה,תושבים (5),,
תנאי חיים,5,ביטוי,תנאי חיים (5),חיים; תנאי,
תפקיד,5,מילה,תפקיד (5),,
תשתיות,5,מילה,תשתיות (5),,
אנרכיסטים,4,מונח_ידוע,אנרכיסטים (4),,מחנה המחאה הליברלי נגד נתניהו והרפורמה המשפטית
ביביסטים,4,מונח_ידוע,ביביסטים (4),,מחנה הימין התומך בבנימין נתניהו
בני ערובה,4,מונח_ידוע,בני ערובה (4),,אנשים המוחזקים בידי הצד השני במסגרת הסכסוך
הסלמה,4,מונח_ידוע,הסלמה (4),,פעולה צבאית/ביטחונית חדשה בעקבות אירוע קודם במסגרת הסכסוך
טיהור אתני,4,מונח_ידוע,טיהור אתני (4),אתני,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
טרנספר,4,מונח_ידוע,טרנספר (4),,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
ימנים,4,מונח_ידוע,ימנים (4),,מחנה הימין התומך בבנימין נתניהו
מאורעות תרצ״ו תרצ״ט,4,מונח_ידוע,מאורעות תרצ״ו—תרצ”ט (4),,התקוממות הערבים בארץ ישראל נגד הבריטים והיישוב היהודי (1936–1939)
מלחמה ה-7 באוקטובר,4,מונח_ידוע,מלחמת ה־7 באוקטובר (4),ה-7 באוקטובר; 7 באוקטובר; מלחמה,המלחמה שנפתחה בעקבות מתקפת 7 באוקטובר 2023
מלחמה השחרור,4,מונח_ידוע,מלחמת השחרור (4),השחרור; מלחמה; שחרור,המלחמה על עתיד הארץ והקמת מדינת ישראל 1947–1949
נזק אגבי,4,מונח_ידוע,נזק אגבי (4),,פגיעה באזרחים במהלך תקיפות צבאיות
סיוע אויב,4,מונח_ידוע,סיוע לאויב (4),אויב; סיוע,העברת אספקה אזרחית לשטח בשליטת ארגון אויב
פגיעה בבלתי מעורבים,4,מונח_ידוע,פגיעה בבלתי מעורבים (3); הפגיעה בבלתי מעורבים (1),מעורבים; פגיעה,פגיעה באזרחים במהלך תקיפות צבאיות
פשיעה לאומנית,4,מונח_ידוע,פשיעה לאומנית (4),לאומנית; פשיעה,מעשי אלימות ועבירות של ישראלים ממניע לאומני נגד פלסטינים ביהודה ושומרון
קפלניסטים,4,מונח_ידוע,קפלניסטים (4),,מחנה המחאה הליברלי נגד נתניהו והרפורמה המשפטית
אזור חיץ,3,מונח_ידוע,אזור חיץ (3),,מרחב ביטחוני בצפון שנועד להרחיק איומים מהגבול עם ישראל
דיפ סטייט,3,מונח_ידוע,דיפ סטייט (3),,מערכת הכללים והמוסדות המשפטיים–מנהליים שמגבילים את כוח השלטון בישראל
טבח ה-7 באוקטובר,3,מונח_ידוע,טבח ה-7 באוקטובר (3),ה-7 באוקטובר; 7 באוקטובר,המתקפה והטבח בדרום ישראל ב־7 באוקטובר 2023
כליאה ללא משפט,3,מונח_ידוע,כליאה ללא משפט (2); בכליאה ללא משפט (1),כליאה,שלילת חירות ללא כתב אישום והליך פלילי מלא
כניסה קרקעית,3,מונח_ידוע,כניסה קרקעית (3),,הפעלת כוחות צבא יבשתיים בשטח שאינו בשליטת ישראל
מאורעות תרפ״ט,3,מונח_ידוע,מאורעות תרפ״ט (3),תרפ״ט,האלימות הערבית נגד היישוב היהודי בארץ ישראל באוגוסט 1929
מחסום,3,מונח_ידוע,מחסום (2); המחסום (1),,נקודת בקרה שמסדירה ומגבילה תנועה בין אזורים בשליטה שונה
מתקפת ה-7 באוקטובר,3,מונח_ידוע,מתקפת ה-7 באוקטובר (3),ה-7 באוקטובר; 7 באוקטובר; מתקפת,המתקפה והטבח בדרום ישראל ב־7 באוקטובר 2023
נוטרל,3,מונח_ידוע,נוטרל (3),,מוות של בני אדם בסכסוך/אלימות/אסון
נרצח,3,מונח_ידוע,נרצח (2); הנרצח (1),נרצחו,מוות של בני אדם בסכסוך/אלימות/אסון
עיירות פיתוח,3,מונח_ידוע,עיירות פיתוח (3),,יישובים יהודיים בעשירונים נמוכים מחוץ למרכז ההיסטורי
פלסטיני אזרחי ישראל,3,מונח_ידוע,פלסטינים אזרחי ישראל (3),אזרחי ישראל; ישראל; אזרח,האוכלוסייה הערבית־פלסטינית אזרחית ישראל
פעולת טרור,3,מונח_ידוע,פעולת טרור (2); בפעולת טרור (1),פעולת; טרור,פעולה אלימה ממניע לאומי/פוליטי במסגרת הסכסוך הישראלי־פלסטיני
שטח כבוש,3,מונח_ידוע,בשטח כבוש (2); שטח כבוש (1),כבוש,מרחב ביטחוני בצפון שנועד להרחיק איומים מהגבול עם ישראל
בוגדים,2,מונח_ידוע,בוגדים (2),,מחנה המחאה הליברלי נגד נתניהו והרפורמה המשפטית
גבול אושוויץ,2,מונח_ידוע,גבולות אושוויץ (2),אושוויץ; גבול,הגבול בין ישראל לשכנותיה על פי הסכמי שביתת הנשק 1949
גדר ההפרדה,2,מונח_ידוע,גדר ההפרדה (2),ההפרדה,המכשול הפיזי בין ישראל לגדה
גזירת הגיוס,2,מונח_ידוע,גזירת הגיוס (2),גיוס,תביעה ציבורית ופוליטית לגייס גברים חרדים לשירות צבאי בדומה לשאר האוכלוסייה
הגירה מרצון,2,מונח_ידוע,הגירה מרצון (2),הגירה; מרצון,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
המגזר הערבי,2,מונח_ידוע,המגזר הערבי (2),,האוכלוסייה הערבית־פלסטינית אזרחית ישראל
טבח דיר יאסין,2,מונח_ידוע,טבח דיר יאסין (2),דיר יאסין; יאסין,ההתקפה והכיבוש של הכפר דיר יאסין באפריל 1948
כיבוש צבאי,2,מונח_ידוע,כיבוש צבאי (2),כיבוש,הפעלת כוחות צבא יבשתיים בשטח שאינו בשליטת ישראל
מלחמה התקומה,2,מונח_ידוע,מלחמת התקומה (2),מלחמה,המלחמה שנפתחה בעקבות מתקפת 7 באוקטובר 2023
מלחמה עזה 2023,2,מונח_ידוע,מלחמת עזה 2023 (2),מלחמה,המלחמה שנפתחה בעקבות מתקפת 7 באוקטובר 2023
מצור,2,מונח_ידוע,מצור (2),,מצב כלכלי-ביטחוני של הגבלת כניסת סחורות לרצועת עזה
נספה,2,מונח_ידוע,נספה (2),,מוות של בני אדם בסכסוך/אלימות/אסון
נערי גבעות,2,מונח_ידוע,נערי גבעות (2),,צעירים יהודים רדיקלים המזוהים עם התיישבות קיצונית ואלימות לאומנית ביהודה ושומרון
נפל,2,מונח_ידוע,נפל (2),,מוות של בני אדם בסכסוך/אלימות/אסון
סגר,2,מונח_ידוע,סגר (2),,מצב כלכלי-ביטחוני של הגבלת כניסת סחורות לרצועת עזה
פשיטה,2,מונח_ידוע,הפשיטה (1); פשיטה (1),,פעולה צבאית נקודתית ומוגבלת בשטח אויב לשם משימה מוגדרת
קו העימות,2,מונח_ידוע,בקו העימות (1); קו העימות (1),העימות; עימות,מרחב ביטחוני בצפון שנועד להרחיק איומים מהגבול עם ישראל
אירוע ה-7 באוקטובר,1,מונח_ידוע,אירוע ה-7 באוקטובר (1),ה-7 באוקטובר; 7 באוקטובר; אירוע,המתקפה והטבח בדרום ישראל ב־7 באוקטובר 2023
אש לא מידתית,1,מונח_ידוע,אש לא מידתית (1),,פגיעה באזרחים במהלך תקיפות צבאיות
גדר הבטחון,1,מונח_ידוע,גדר הבטחון (1),,המכשול הפיזי בין ישראל לגדה
הפרעה לסדר הציבורי,1,מונח_ידוע,הפרעה לסדר הציבורי (1),הציבור; ציבור,יציאה המונית של אנשים למרחב הציבורי כדי למחות או להביע עמדה
חומת ההפרדה,1,מונח_ידוע,חומת ההפרדה (1),ההפרדה,המכשול הפיזי בין ישראל לגדה
חוק הגיוס,1,מונח_ידוע,חוק הגיוס (1),גיוס,תביעה ציבורית ופוליטית לגייס גברים חרדים לשירות צבאי בדומה לשאר האוכלוסייה
