מילת_מפתח,ספירה,סוג,וариантים,וариантים_קשורים,קבוצת_מושג
ביקורת,42,מילה,ביקורת (27); בביקורת (6); ובביקורת (3); הביקורת (3); וביקורת (2); לביקורת (1),הביקורתי,
טבח,42,מונח_ידוע,טבח (25); הטבח (7); כטבח (7); וטבח (1); בטבח (1); לטבח (1),,הרג המוני מכוון של אוכלוסייה
גדה המערבית,40,מונח_ידוע,הגדה המערבית (14); בגדה (10); בגדה המערבית (7); הגדה (5); ובגדה (2); לגדה (2),,המרחב שבין הקו הירוק לנהר הירדן
מוסד,40,מילה,ומוסדות (17); מוסדות (10); במוסדות (5); ממוסד (5); המוסדות (1); והמוסד (1); המוסד (1),גופי האו״ם מוסד; גופי האו״ם מוסד בינלאומיים; האו״ם מוסד; האו״ם מוסד בינלאומיים; מוסד בינלאומיים; מוסד מדינה,
ודוברי,38,מילה,ודוברי (38),ודוברי הצבא; ודוברי הצבא ומערכת; ודוברי הצבא ומערכת ביטחון; ישראל ודוברי; ישראל ודוברי הצבא; ישראל ודוברי הצבא ומערכת; ממשלות ישראל ודוברי; ממשלות ישראל ודוברי הצבא,
ודוברי הצבא,36,ביטוי,ודוברי הצבא (36),ודוברי הצבא ומערכת; ודוברי הצבא ומערכת ביטחון; ישראל ודוברי הצבא; ישראל ודוברי הצבא ומערכת; ממשלות ישראל ודוברי הצבא; ודוברי; הצבא,
ישראל ודוברי,36,ביטוי,ישראל ודוברי (36),ישראל ודוברי הצבא; ישראל ודוברי הצבא ומערכת; ממשלות ישראל ודוברי; ממשלות ישראל ודוברי הצבא; ודוברי; ישראל,
ישראל ודוברי הצבא,36,ביטוי,ישראל ודוברי הצבא (36),ישראל ודוברי הצבא ומערכת; ממשלות ישראל ודוברי הצבא; ישראל ודוברי; ודוברי הצבא; ודוברי; ישראל; הצבא; ממשלות ישראל ודוברי,
אקדמי ומשפטי,35,ביטוי,אקדמי ומשפטי (35),אקדמי,
ממשלות ישראל ודוברי,35,ביטוי,ממשלות ישראל ודוברי (35),ממשלות ישראל ודוברי הצבא; ישראל ודוברי; ממשלות ישראל; ודוברי; ישראל; ישראל ודוברי הצבא; ישראל ודוברי הצבא ומערכת; ממשלות ישראל וגופים,
ממשלות ישראל ודוברי הצבא,35,ביטוי,ממשלות ישראל ודוברי הצבא (35),ממשלות ישראל ודוברי; ישראל ודוברי הצבא; ישראל ודוברי; ממשלות ישראל; ודוברי הצבא; ודוברי; ישראל; הצבא,
סכסוך,35,מונח_ידוע,הסכסוך (24); סכסוך (7); בסכסוך (3); והסכסוך (1),סכסוך הישראלי-פלסטיני,המצב המדיני־ביטחוני בין ישראל לפלסטינים מאז 1967
צפון,34,מילה,הצפון (15); בצפון (7); וצפון (5); והצפון (4); ובצפון (2); צפון (1),,
אחריות,33,מילה,האחריות (15); אחריות (12); באחריות (4); מהאחריות (1); לאחריות (1),,
המתאר,32,מילה,המתאר (19); המתארים (13),,
לבנון,31,מילה,לבנון (18); ובלבנון (5); בלבנון (5); ולבנון (2); ללבנון (1),דרום לבנון; עזה לבנון,
הרג,29,מילה,הרג (18); ההרג (7); בהרג (2); מהרג (1); והרג (1),,
ועיתונאים,29,מילה,ועיתונאים (29),ופרשנים ועיתונאים; פרשנים ועיתונאים,
פינוי,29,מונח_ידוע,פינוי (20); הפינוי (4); בפינוי (4); ופינוי (1),,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
ה-7 באוקטובר,28,ביטוי,ה-7 באוקטובר (28),אירוע ה-7 באוקטובר; טבח ה-7 באוקטובר; מחדל ה-7 באוקטובר; מלחמה ה-7 באוקטובר; מתקפת ה-7 באוקטובר; 7 באוקטובר,
מ-2023,28,מילה,מ-2023 (28),וביתר שאת מ-2023; מ-2023 סביב,
אויב,27,מילה,אויב (13); לאויב (8); האויב (6),סיוע אויב; שטח אויב,
האו״ם,27,מילה,האו״ם (27),גופי האו״ם; גופי האו״ם מוסד; גופי האו״ם מוסד בינלאומיים; האו״ם מוסד; האו״ם מוסד בינלאומיים; וגופי האו״ם,
הגנה,26,מילה,הגנה (12); ההגנה (8); כהגנה (2); וההגנה (1); ובהגנה (1); ומגנה (1); והגנה (1),,
פוליטיקאים,26,מילה,פוליטיקאים (26),הישראלי ופוליטיקאים; ופוליטיקאים; ופוליטיקאים ישראלים; פוליטיקאים ישראלים,
פליט,26,מונח_ידוע,פליטים (10); הפליטים (8); לפליטים (4); כפליטים (3); בפליטים (1),,"אנשים שנכנסו לישראל ללא מעמד קבוע, בשל סכסוך, רדיפה או מצוקה"
צה״ל,26,מילה,צה״ל (23); וצה״ל (2); לצה״ל (1),,
ארץ,25,מילה,בארץ (12); הארץ (6); ארץ (4); לארץ (2); מארץ (1),,
בחינה שמאל,25,ביטוי,מחנה השמאל (20); ומחנה השמאל (5),,
ירושלים,25,מילה,ירושלים (20); בירושלים (2); ובירושלים (1); לירושלים (1); וירושלים (1),מזרח ירושלים,
הגירה,24,מילה,הגירה (16); ההגירה (3); בהגירה (2); וההגירה (1); והגירה (1); כהגירה (1),הגירה מרצון,
סיוע,24,מילה,סיוע (19); הסיוע (2); וסיוע (1); כסיוע (1); לסיוע (1),סיוע אויב; סיוע הומניטרי,
פיגוע,24,מונח_ידוע,פיגועים (10); פיגוע (6); בפיגועים (2); בפיגוע (2); והפיגועים (1); הפיגועים (1); הפיגוע (1); לפיגוע (1),,פעולה אלימה ממניע לאומי/פוליטי במסגרת הסכסוך הישראלי־פלסטיני
פרשנים,24,מילה,פרשנים (24),ופרשנים; ופרשנים ועיתונאים; פרשנים ועיתונאים,
דרום,23,מילה,בדרום (12); הדרום (4); והדרום (2); מדרום (2); דרום (2); לדרום (1),דרום לבנון,
יהודה ושומרון,23,מונח_ידוע,ביהודה ושומרון (15); יהודה ושומרון (8),,המרחב שבין הקו הירוק לנהר הירדן
פוליטיקאים ישראלים,23,ביטוי,פוליטיקאים ישראלים (23),ופוליטיקאים ישראלים; פוליטיקאים; ישראל,
פשע,23,מילה,פשע (12); פשעים (3); לפשע (2); כפשע (2); מפשע (2); והפשעים (1); בפשע (1),,
הסברה,22,מונח_ידוע,הסברה (12); ההסברה (6); בהסברה (3); והסברה (1),,מאמץ מאורגן לעיצוב תודעה ודעת קהל ביחס למדיניות ופעולות ישראל
התבסס,22,מילה,התבסס (22),התבסס מאז,
ויכוח,22,מילה,ויכוחים (12); ויכוח (8); וויכוחים (2),,
חמאס,22,מילה,חמאס (17); בחמאס (3); כחמאס (1); החמאס (1),,
נתניהו,22,מילה,נתניהו (19); לנתניהו (2); בנתניהו (1),,
שמאל הישראלי,22,ביטוי,השמאל הישראלי (22),ישראל,
בחינה ימין,21,ביטוי,מחנה הימין (21),ימין,
דיווחים,21,מילה,דיווחים (21),,
חטופים,21,מונח_ידוע,חטופים (10); החטופים (8); וחטופים (3),החטופים,אנשים המוחזקים בידי הצד השני במסגרת הסכסוך
חרבות ברזל,21,מונח_ידוע,חרבות ברזל (19); וחרבות ברזל (1); בחרבות ברזל (1),מלחמה חרבות ברזל,המלחמה שנפתחה בעקבות מתקפת 7 באוקטובר 2023
כנסת,21,מילה,כנסת (8); בכנסת (7); הכנסת (4); והכנסת (2),,
פרשנים ועיתונאים,20,ביטוי,פרשנים ועיתונאים (20),ופרשנים ועיתונאים; ועיתונאים; פרשנים,
רצח,20,מילה,רצח (20),,
גירוש,19,מונח_ידוע,גירוש (14); וגירוש (4); הגירוש (1),,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
וביתר,19,מילה,וביתר (19),וביתר שאת מ-2023,
לחימה,19,מילה,לחימה (19),בלחימה; הלחימה; סבבי הלחימה,
ארגון פלסטיניים,18,ביטוי,ארגונים פלסטיניים (16); וארגונים פלסטיניים (2),ארגון,
זיכרון,18,מילה,זיכרון (18),הזיכרון,
ימין הישראלי,18,ביטוי,הימין הישראלי (18),ישראל; ימין,
נכנס,18,מילה,נכנס (15); נכנסים (3),נכנס לשיח,
חיסול,17,מונח_ידוע,חיסול (15); החיסול (2),,הרג יזום של יעד ביטחוני בידי מדינת ישראל
לוחם,17,מילה,לוחמים (8); לוחם (4); ללוחמים (3); בלוחמים (1); הלוחם (1),,
שבויים,17,מונח_ידוע,שבויים (17),,אנשים המוחזקים בידי הצד השני במסגרת הסכסוך
שליטה,17,מילה,שליטה (17),לשליטה,
תגובה,17,מונח_ידוע,תגובה (8); כתגובה (4); והתגובה (1); ובתגובה (1); התגובה (1); בתגובה (1); לתגובה (1),,פעולה צבאית/ביטחונית חדשה בעקבות אירוע קודם במסגרת הסכסוך
הלחימה,16,מילה,הלחימה (16),סבבי הלחימה; לחימה,
הפגנות,16,מונח_ידוע,הפגנות (8); והפגנות (3); ההפגנות (3); וההפגנות (1); בהפגנות (1),,יציאה המונית של אנשים למרחב הציבורי כדי למחות או להביע עמדה
הפך,16,מילה,הפך (16),,
